bshare,TSGMMcueMC
0.04,143.36287666458426
0.0405,125.14580110004684
0.041,101.16202394823115
0.0415,81.52016600024861
0.042,75.07871446605074
0.0425,56.028284807723416
0.043,48.93971477799289
0.0435,38.495698495454604
0.044,30.1137576844104
0.0445,21.362172343606233
0.045,15.97264770617515
0.0455,9.94237010176996
0.046,7.854275890109278
0.0465,4.920357497585015
0.047,6.115747634534664
0.0475,7.985551812393909
0.048,8.036836732169121
0.0485,12.597506280397795
0.049,21.842867281157552
0.0495,27.787079014753832
0.05,38.928185920201194
0.0505,49.12475239904066
0.051,61.91443436861479
0.0515,75.47548051849108
0.052,92.93447095849731
0.0525,108.55501122875476
0.053,130.188292599615
0.0535,146.7700250278489
0.054,168.67216186097386
0.0545,191.68250077747456
0.055,219.9555281529091
0.0555,244.69075050218527
0.056,279.76911188016845
0.0565,298.56024350634794
0.057,334.19920741514386
0.0575,371.3461704209493
0.058,397.19904545107295
0.0585,435.61671117933486
0.059,468.4888337608343
0.0595,505.4667553783326
0.06,547.5948415029283
