bshare,TSGMMcueMC
0.04,231.75929330159715
0.0405,215.05182763945086
0.041,197.79729086125735
0.0415,177.9556156916363
0.042,160.72789707372496
0.0425,141.45854353600458
0.043,122.729657214464
0.0435,108.6033370257843
0.044,94.52748052126297
0.0445,81.73241237938336
0.045,67.49420693885739
0.0455,53.43623086598588
0.046,46.70048679298127
0.0465,39.01053514928972
0.047,32.19553467726814
0.0475,24.33799810642525
0.048,18.314242227661282
0.0485,13.934528190059428
0.049,10.47415847030899
0.0495,8.125387651196432
0.05,5.701988471082871
0.0505,4.6585521509060355
0.051,7.079115565340861
0.0515,8.759258678667702
0.052,10.068163961111585
0.0525,17.297058936427344
0.053,20.975439194041073
0.0535,27.114937999871056
0.054,35.69197063009723
0.0545,40.16073481243951
0.055,52.19179117257832
0.0555,61.90219700136794
0.056,74.69727447785613
0.0565,87.63368574769781
0.057,100.09899261657353
0.0575,117.31611800364848
0.058,131.91665619268855
0.0585,149.40264364954967
0.059,167.37056393841465
0.0595,186.11935236824607
0.06,206.92999277144983
