seed,RejRate
1.0,0.5345
1.0,0.5365
1.0,0.5485
1.0,0.534
1.0,0.5375
1.0,0.5349999999999999
1.0,0.5285
1.0,0.5365
1.0,0.5315
1.0,0.556
1.0,0.5225
1.0,0.5235000000000001
1.0,0.5175000000000001
1.0,0.5335
1.0,0.5449999999999999
1.0,0.54
1.0,0.5349999999999999
1.0,0.534
1.0,0.5275000000000001
1.0,0.5415
1.0,0.5205
1.0,0.53
1.0,0.5145
1.0,0.527
1.0,0.5385
1.0,0.5365
1.0,0.542
1.0,0.5425
1.0,0.5275000000000001
1.0,0.536
1.0,0.54
1.0,0.5155000000000001
1.0,0.526
1.0,0.5355
1.0,0.5255000000000001
1.0,0.5369999999999999
1.0,0.5155000000000001
1.0,0.5285
1.0,0.528
1.0,0.523
1.0,0.542
1.0,0.532
1.0,0.525
1.0,0.5409999999999999
1.0,0.542
1.0,0.5375
1.0,0.5295000000000001
1.0,0.5115000000000001
1.0,0.5345
1.0,0.5175000000000001
1.0,0.5255000000000001
1.0,0.5329999999999999
1.0,0.512
1.0,0.5385
1.0,0.54
1.0,0.5409999999999999
1.0,0.5325
1.0,0.542
1.0,0.5415
1.0,0.544
1.0,0.5375
1.0,0.5425
1.0,0.5355
1.0,0.5435
1.0,0.5325
1.0,0.507
1.0,0.5245
1.0,0.5255000000000001
1.0,0.5329999999999999
1.0,0.5225
1.0,0.5315
1.0,0.518
1.0,0.534
1.0,0.542
1.0,0.5355
1.0,0.536
1.0,0.5275000000000001
1.0,0.5335
1.0,0.5265
1.0,0.548
1.0,0.5285
1.0,0.532
1.0,0.5355
1.0,0.5255000000000001
1.0,0.527
1.0,0.5345
1.0,0.529
1.0,0.5
1.0,0.519
1.0,0.5365
1.0,0.5455
1.0,0.5369999999999999
1.0,0.5215000000000001
1.0,0.524
1.0,0.5355
1.0,0.536
1.0,0.5185
1.0,0.5285
1.0,0.5245
1.0,0.5375
1.0,0.5329999999999999
1.0,0.5315
1.0,0.5495
1.0,0.5475
1.0,0.5415
1.0,0.512
1.0,0.53
1.0,0.526
1.0,0.538
1.0,0.528
1.0,0.5435
1.0,0.521
1.0,0.5305
1.0,0.532
1.0,0.5065
1.0,0.5415
1.0,0.509
1.0,0.5329999999999999
1.0,0.519
1.0,0.5455
1.0,0.5095000000000001
1.0,0.527
1.0,0.527
1.0,0.5329999999999999
1.0,0.528
1.0,0.5385
1.0,0.5265
1.0,0.532
1.0,0.536
1.0,0.5305
1.0,0.527
1.0,0.513
1.0,0.5325
1.0,0.508
1.0,0.5295000000000001
1.0,0.513
1.0,0.5195000000000001
1.0,0.5349999999999999
1.0,0.55
1.0,0.5485
1.0,0.5425
1.0,0.5489999999999999
1.0,0.5225
1.0,0.532
1.0,0.5329999999999999
1.0,0.5525
1.0,0.5355
1.0,0.5115000000000001
1.0,0.5305
1.0,0.5165
1.0,0.514
1.0,0.507
1.0,0.5335
1.0,0.5395
1.0,0.5185
1.0,0.52
1.0,0.5349999999999999
1.0,0.519
1.0,0.526
1.0,0.5205
1.0,0.536
1.0,0.508
1.0,0.5475
1.0,0.53
1.0,0.5205
1.0,0.5135000000000001
1.0,0.528
1.0,0.5365
1.0,0.5245
1.0,0.5409999999999999
1.0,0.5315
1.0,0.5375
1.0,0.5449999999999999
1.0,0.5545
1.0,0.536
1.0,0.518
1.0,0.531
1.0,0.5369999999999999
1.0,0.5385
1.0,0.5345
1.0,0.5305
1.0,0.532
1.0,0.5405
1.0,0.5409999999999999
1.0,0.5529999999999999
1.0,0.5435
1.0,0.508
1.0,0.536
1.0,0.5285
1.0,0.55
1.0,0.526
1.0,0.504
1.0,0.527
1.0,0.5355
1.0,0.5275000000000001
1.0,0.529
1.0,0.5255000000000001
1.0,0.5369999999999999
1.0,0.5325
1.0,0.516
1.0,0.5545
1.0,0.525
1.0,0.5155000000000001
1.0,0.5325
1.0,0.529
1.0,0.525
1.0,0.5245
1.0,0.5155000000000001
1.0,0.54
1.0,0.5335
1.0,0.5135000000000001
1.0,0.5389999999999999
1.0,0.5509999999999999
1.0,0.5295000000000001
1.0,0.51
1.0,0.5335
1.0,0.5429999999999999
1.0,0.523
1.0,0.5415
1.0,0.5335
1.0,0.5365
1.0,0.536
1.0,0.5369999999999999
1.0,0.546
1.0,0.5489999999999999
1.0,0.516
1.0,0.534
1.0,0.5455
1.0,0.5329999999999999
1.0,0.5409999999999999
1.0,0.5185
1.0,0.5045
1.0,0.5145
1.0,0.523
1.0,0.5305
1.0,0.5429999999999999
1.0,0.5295000000000001
1.0,0.5175000000000001
1.0,0.5325
1.0,0.536
1.0,0.5345
1.0,0.529
1.0,0.5295000000000001
1.0,0.5389999999999999
1.0,0.5469999999999999
1.0,0.525
1.0,0.5235000000000001
1.0,0.53
1.0,0.5205
1.0,0.5285
1.0,0.5285
1.0,0.536
1.0,0.542
1.0,0.527
1.0,0.5175000000000001
1.0,0.5275000000000001
1.0,0.5349999999999999
1.0,0.52
1.0,0.524
1.0,0.526
1.0,0.511
1.0,0.523
1.0,0.49850000000000005
1.0,0.526
1.0,0.5205
1.0,0.528
1.0,0.5335
1.0,0.5305
1.0,0.5325
1.0,0.536
1.0,0.531
1.0,0.5365
1.0,0.5349999999999999
1.0,0.5145
1.0,0.5389999999999999
1.0,0.5135000000000001
1.0,0.5355
1.0,0.5155000000000001
1.0,0.5389999999999999
1.0,0.534
1.0,0.536
1.0,0.5355
1.0,0.5325
1.0,0.5409999999999999
1.0,0.529
1.0,0.522
1.0,0.5335
1.0,0.5265
1.0,0.518
1.0,0.5255000000000001
1.0,0.5369999999999999
1.0,0.5349999999999999
1.0,0.5335
1.0,0.5409999999999999
1.0,0.5275000000000001
1.0,0.5305
1.0,0.5225
1.0,0.5155000000000001
1.0,0.5429999999999999
1.0,0.5235000000000001
1.0,0.5385
1.0,0.548
1.0,0.5415
1.0,0.5295000000000001
1.0,0.529
1.0,0.5235000000000001
1.0,0.517
1.0,0.5355
1.0,0.52
1.0,0.509
1.0,0.5435
1.0,0.506
1.0,0.5175000000000001
1.0,0.5025
1.0,0.516
1.0,0.5285
1.0,0.523
1.0,0.5185
1.0,0.529
1.0,0.5385
1.0,0.5475
1.0,0.5255000000000001
1.0,0.5225
1.0,0.516
1.0,0.516
1.0,0.5369999999999999
1.0,0.5275000000000001
1.0,0.552
1.0,0.5325
1.0,0.531
1.0,0.5525
1.0,0.5315
1.0,0.5245
1.0,0.5315
1.0,0.5135000000000001
1.0,0.5415
1.0,0.5349999999999999
1.0,0.517
1.0,0.5365
1.0,0.5475
1.0,0.5369999999999999
1.0,0.5385
1.0,0.5395
1.0,0.5175000000000001
1.0,0.51
1.0,0.5429999999999999
1.0,0.5115000000000001
1.0,0.5215000000000001
1.0,0.558
1.0,0.5509999999999999
1.0,0.53
1.0,0.5335
1.0,0.5369999999999999
1.0,0.5295000000000001
1.0,0.5255000000000001
1.0,0.524
1.0,0.5295000000000001
1.0,0.5175000000000001
1.0,0.534
1.0,0.5255000000000001
1.0,0.5315
1.0,0.526
1.0,0.5365
1.0,0.5175000000000001
1.0,0.5449999999999999
1.0,0.5425
1.0,0.5375
1.0,0.5525
1.0,0.534
1.0,0.5265
1.0,0.5385
1.0,0.5325
1.0,0.5345
1.0,0.5205
1.0,0.5455
1.0,0.5075000000000001
1.0,0.5435
1.0,0.544
1.0,0.536
1.0,0.521
1.0,0.5245
1.0,0.5295000000000001
1.0,0.5265
1.0,0.52
1.0,0.5235000000000001
1.0,0.529
1.0,0.5445
1.0,0.5225
1.0,0.5415
1.0,0.5285
1.0,0.5205
1.0,0.525
1.0,0.528
1.0,0.5255000000000001
1.0,0.5365
1.0,0.5255000000000001
1.0,0.5375
1.0,0.5125
1.0,0.512
1.0,0.5355
1.0,0.5235000000000001
1.0,0.52
1.0,0.5429999999999999
1.0,0.5365
1.0,0.5365
1.0,0.54
1.0,0.5085
1.0,0.5429999999999999
1.0,0.5429999999999999
1.0,0.5389999999999999
1.0,0.527
1.0,0.5275000000000001
1.0,0.5429999999999999
1.0,0.5375
1.0,0.5375
1.0,0.5165
1.0,0.5285
1.0,0.519
1.0,0.5425
1.0,0.5585
1.0,0.5355
1.0,0.528
1.0,0.5369999999999999
1.0,0.544
1.0,0.5329999999999999
1.0,0.521
1.0,0.5235000000000001
1.0,0.5265
1.0,0.531
1.0,0.5155000000000001
1.0,0.5225
1.0,0.5245
1.0,0.546
1.0,0.5335
1.0,0.524
1.0,0.527
1.0,0.5345
1.0,0.5205
1.0,0.544
1.0,0.526
1.0,0.546
1.0,0.52
1.0,0.522
1.0,0.5355
1.0,0.525
1.0,0.5495
1.0,0.5275000000000001
1.0,0.512
1.0,0.5485
1.0,0.5449999999999999
1.0,0.5175000000000001
1.0,0.5245
1.0,0.5125
1.0,0.5105
1.0,0.517
1.0,0.49950000000000006
1.0,0.522
1.0,0.5325
1.0,0.528
1.0,0.524
1.0,0.5549999999999999
1.0,0.534
1.0,0.5335
1.0,0.5215000000000001
1.0,0.5245
1.0,0.5315
1.0,0.528
1.0,0.5435
1.0,0.5335
1.0,0.5425
1.0,0.5425
1.0,0.5389999999999999
1.0,0.5135000000000001
1.0,0.5205
1.0,0.5469999999999999
1.0,0.5325
1.0,0.5409999999999999
1.0,0.524
1.0,0.5255000000000001
1.0,0.5205
1.0,0.529
1.0,0.5305
1.0,0.52
1.0,0.5385
1.0,0.5329999999999999
1.0,0.5125
1.0,0.5155000000000001
1.0,0.5435
1.0,0.5485
1.0,0.5135000000000001
1.0,0.5355
1.0,0.5195000000000001
1.0,0.528
1.0,0.529
1.0,0.5315
1.0,0.5305
1.0,0.531
1.0,0.5469999999999999
1.0,0.513
1.0,0.5385
1.0,0.5375
1.0,0.5325
1.0,0.5349999999999999
1.0,0.5369999999999999
1.0,0.534
1.0,0.5175000000000001
1.0,0.532
1.0,0.5115000000000001
1.0,0.5349999999999999
1.0,0.5275000000000001
1.0,0.5255000000000001
1.0,0.5465
1.0,0.5449999999999999
1.0,0.5305
1.0,0.5345
1.0,0.5349999999999999
1.0,0.52
1.0,0.52
1.0,0.526
1.0,0.5369999999999999
1.0,0.53
1.0,0.5205
1.0,0.525
1.0,0.54
1.0,0.5285
1.0,0.5355
1.0,0.5435
1.0,0.5385
1.0,0.5315
1.0,0.534
1.0,0.5349999999999999
1.0,0.536
1.0,0.536
1.0,0.534
1.0,0.5389999999999999
1.0,0.5375
1.0,0.5095000000000001
1.0,0.5389999999999999
1.0,0.526
1.0,0.546
1.0,0.5185
1.0,0.513
1.0,0.5389999999999999
1.0,0.51
1.0,0.5255000000000001
1.0,0.52
1.0,0.5329999999999999
1.0,0.5475
1.0,0.5465
1.0,0.517
1.0,0.528
1.0,0.5085
1.0,0.514
1.0,0.52
1.0,0.5245
1.0,0.508
1.0,0.5365
1.0,0.5185
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
