bshare,TSGMMcueMC
0.04,38.01879264341701
0.0405,27.384523515230207
0.041,17.706456342801335
0.0415,12.937349169450751
0.042,8.526225349499425
0.0425,6.851719917473048
0.043,6.056087308505746
0.0435,9.363378073423275
0.044,13.742184293411052
0.0445,22.354093603112094
0.045,32.92627259484297
0.0455,45.71779852211023
0.046,65.62525151203496
0.0465,76.18797756411549
0.047,96.05123057178736
0.0475,117.70583048394707
0.048,142.6254190089441
0.0485,165.3198130904368
0.049,194.47147899209656
0.0495,229.84218116111157
0.05,263.8139220233462
0.0505,299.33546948334396
0.051,338.8518883118986
0.0515,378.97980205381396
0.052,423.28795185152904
0.0525,454.5767360840977
0.053,515.6607839312106
0.0535,605.1205272030886
0.054,619.2007036371504
0.0545,686.6676336272861
0.055,738.3596089157352
0.0555,790.5323111369519
0.056,859.4838732435679
0.0565,889.6194941909632
0.057,1004.4645084300414
0.0575,1053.8666153021695
0.058,1127.0435883475664
0.0585,1259.3614320199658
0.059,1279.3601698796542
0.0595,1338.2869535939967
0.06,1438.7185704620633
