bshare,TSGMMcueMC
0.04,292.55769712771587
0.0405,278.7085923796147
0.041,250.01167182380163
0.0415,231.60147144784807
0.042,218.0055101955652
0.0425,200.04455749978683
0.043,182.55877273545312
0.0435,164.7300633966702
0.044,148.50298257061206
0.0445,134.71764628511332
0.045,114.51323293906783
0.0455,105.27212276478662
0.046,88.79092206793855
0.0465,80.4305814930213
0.047,69.47728650366854
0.0475,60.05513051993396
0.048,46.79018809145069
0.0485,38.06936373030945
0.049,35.12116476486629
0.0495,28.08505071643782
0.05,23.108316664202626
0.0505,17.16971327300735
0.051,14.242655683858649
0.0515,10.984077877380052
0.052,8.120457573077674
0.0525,5.042696867487231
0.053,7.962858214084713
0.0535,6.00349762422737
0.054,4.243332527969121
0.0545,10.93809664678762
0.055,12.18795068841372
0.0555,12.18823016224206
0.056,17.12969107672487
0.0565,27.210575980465848
0.057,31.736167933027893
0.0575,38.91470411380625
0.058,45.17456428862501
0.0585,54.10995451983023
0.059,66.40775240689914
0.0595,75.61788038242089
0.06,87.99304019940226
