bshare,TSGMMcueMC
0.04,178.7209383467627
0.0405,151.55524200098364
0.041,134.5120622139568
0.0415,118.75051110635854
0.042,94.92333326990988
0.0425,84.17854005388136
0.043,68.25456987749902
0.0435,58.554746196474014
0.044,47.22763984705007
0.0445,39.46352432769121
0.045,28.075452210854085
0.0455,21.812608413338047
0.046,15.869267763781922
0.0465,11.268133273067743
0.047,8.261620547591217
0.0475,6.381172577296783
0.048,5.765253306713011
0.0485,6.692049439814463
0.049,9.114472071462849
0.0495,13.935339703369857
0.05,18.182753591762733
0.0505,25.4821685167103
0.051,31.713358144569884
0.0515,40.321482546381354
0.052,50.64898156985968
0.0525,62.2481204767821
0.053,75.58876594721208
0.0535,91.58083553357964
0.054,107.60031360057405
0.0545,125.87050185598079
0.055,143.81871993142636
0.0555,166.82167283651168
0.056,187.05103321858905
0.0565,209.68387872188973
0.057,234.12537972833798
0.0575,259.2778554842653
0.058,286.65253713292117
0.0585,315.6422948833814
0.059,347.31321952174113
0.0595,377.3393541966469
0.06,408.3578241057797
