bshare,TSGMMcueMC
0.04,55.80421775785372
0.0405,40.329107840256704
0.041,33.558703050555074
0.0415,23.49486979475172
0.042,16.55592159148255
0.0425,8.525937017804994
0.043,7.3919138327770915
0.0435,7.746762661653856
0.044,6.600749848832337
0.0445,7.022924335596632
0.045,11.520730154879779
0.0455,20.900408600032
0.046,30.729979765819007
0.0465,42.29058312997838
0.047,56.378142357154545
0.0475,71.65357536666188
0.048,88.89258354464035
0.0485,109.64192969956888
0.049,131.942356901048
0.0495,154.03208633563776
0.05,181.07884344848455
0.0505,210.6396652207175
0.051,244.98939277955805
0.0515,272.6647930657778
0.052,305.42084111249477
0.0525,346.42047248965395
0.053,386.3793241315473
0.0535,427.8430583215463
0.054,468.93282905493925
0.0545,515.1299117103484
0.055,553.824491307098
0.0555,612.7576532458718
0.056,664.0068009657195
0.0565,721.9760247164446
0.057,774.919833729745
0.0575,830.7258261158618
0.058,893.914204567833
0.0585,947.9154921354908
0.059,1020.4967327060956
0.0595,1088.3195648582662
0.06,1165.8460099137583
