bshare,TSGMMcueMC
0.04,208.7600214739159
0.0405,182.64469323288583
0.041,161.78491739155305
0.0415,148.0676292323001
0.042,128.09618939035866
0.0425,103.33985302360323
0.043,96.38955248801686
0.0435,82.0177835352234
0.044,67.4321406635678
0.0445,58.08313685604688
0.045,41.42266757232595
0.0455,38.59042643542291
0.046,29.65206809944438
0.0465,21.788013746866913
0.047,17.49702307879869
0.0475,11.872363526587899
0.048,8.922084889100443
0.0485,7.141988973140302
0.049,5.277768864705925
0.0495,3.454212989085308
0.05,8.056004309161361
0.0505,11.298551767362333
0.051,15.03838300722592
0.0515,20.24197474586267
0.052,24.054505147868362
0.0525,31.214885546478968
0.053,42.989770589688334
0.0535,49.537770416092016
0.054,62.968797950421816
0.0545,77.79162445235393
0.055,90.93904735429695
0.0555,104.8647630642775
0.056,124.94365328729405
0.0565,138.70888883675346
0.057,163.07604781288956
0.0575,184.10086782326283
0.058,199.7157145257596
0.0585,221.24707633259
0.059,245.72307579417546
0.0595,269.7455113915098
0.06,296.9775872790094
