bshare,TSGMMcueMC
0.04,85.4417806224863
0.0405,62.4341505272656
0.041,49.42130669912727
0.0415,43.38127523622933
0.042,31.478012383353892
0.0425,22.51850018372132
0.043,15.95969029132538
0.0435,10.86611427966962
0.044,6.600219023512801
0.0445,6.1580042250751355
0.045,6.02627160531057
0.0455,6.540032574854618
0.046,14.611751486286796
0.0465,20.907658186625813
0.047,28.45195731058399
0.0475,38.895387481655206
0.048,50.67110897148899
0.0485,67.93057263686504
0.049,79.84720960917832
0.0495,99.19294643587348
0.05,117.21846411881847
0.0505,143.25173151730874
0.051,164.9730954407053
0.0515,190.15557769619394
0.052,217.31498583449564
0.0525,244.1272212321592
0.053,277.45859443514684
0.0535,313.08467396266514
0.054,347.88527904250066
0.0545,382.857987938173
0.055,427.2471570272332
0.0555,463.52905067839566
0.056,507.8976317883293
0.0565,550.3680143515396
0.057,598.1880895799425
0.0575,646.983944228584
0.058,691.5956510228191
0.0585,749.4706292546916
0.059,800.8553289772916
0.0595,862.4183480489016
0.06,912.6948680478082
