iter,TSGMMcueMC
1.0,2.0017903455324464
2.0,3.3015038668257226
3.0,1.0056208590712852
4.0,3.7081544268857067
5.0,2.931267481726929
6.0,1.7790331523621221
7.0,1.2409695172771495
8.0,3.004506688105147
9.0,4.007452733320529
10.0,1.000500250125062
11.0,1.9638184408958281
12.0,1.4667623181971392
13.0,3.699486297792849
14.0,4.007968182122278
15.0,1.8448759670591286
16.0,3.2632823044327544
17.0,-0.4435206196466596
18.0,1.0005002501216411
19.0,1.0005002501250624
20.0,-2.8991660409540074
21.0,3.004503443525699
22.0,2.5052232220411885
23.0,2.0019951970780046
24.0,4.011637362369692
25.0,2.9053481519161273
26.0,3.219560518607763
27.0,4.023525650959785
28.0,1.0005002501250608
29.0,1.000500250125062
30.0,2.4938538584300085
31.0,2.712178990473347
32.0,3.004699174321762
33.0,2.001851929722176
34.0,4.007914726723113
35.0,2.002002002002003
36.0,1.0004997323456224
37.0,4.9999670319460385
38.0,3.6402784015632346
39.0,2.5600966159287255
40.0,2.1572836067869137
41.0,-1.7099216027467914
42.0,-0.05756422445143615
43.0,1.8256582545571416
44.0,4.135575516118518
45.0,1.0005002501250597
46.0,1.8829807307216473
47.0,1.0005002501212266
48.0,3.005286855850408
49.0,-0.7363882144192871
50.0,1.000500250125062
51.0,1.713242371225728
52.0,0.4219752113718911
53.0,1.0005002571828299
54.0,-539.5858024954587
55.0,1.9375093143382767
56.0,1.0004121753537776
57.0,1.0373466643855898
58.0,2.284144776922738
59.0,3.0043478565769863
60.0,4.279832479627189
61.0,-13.964249619982073
62.0,1.0004889422111038
63.0,2.0020028758906565
64.0,2.073556505017635
65.0,1.0671635991510489
66.0,1.0005001754040963
67.0,2.001735256554352
68.0,0.8410249134727117
69.0,4.12786152333085
70.0,2.6380943232755802
71.0,2.0020030729921787
72.0,-1.239382620915494
73.0,1.0005002501250624
74.0,4.0079583324415236
75.0,3.004482646207985
76.0,1.000500250125063
77.0,1.8877680480737282
78.0,3.0044949807825243
79.0,1.0005002501250626
80.0,1.0005002501250637
81.0,-6.681800343798035
82.0,1.0004972634789016
83.0,2.7558321702558533
84.0,2.5327291773569764
85.0,3.9225238457901304
86.0,-0.28669208087008524
87.0,-0.4555437113484508
88.0,3.265343289890447
89.0,2.1758116178265277
90.0,3.0043743228815774
91.0,2.270758339533265
92.0,4.723160056629322
93.0,2.002002104861465
94.0,1.0005002501250622
95.0,2.514041968142177
96.0,3.7715798567974184
97.0,1.000500250209286
98.0,2.0780726148756905
99.0,2.0019932554515454
100.0,-7.54590685684373
101.0,2.9849167723182415
102.0,1.5264072664443018
103.0,3.0044996644161723
