bshare,TSGMMcueMC
0.04,113.87115890548496
0.0405,95.37726827868609
0.041,68.50486096920146
0.0415,63.25786578663013
0.042,49.997028695113414
0.0425,39.34171776261415
0.043,30.058186392594838
0.0435,21.195849950407283
0.044,15.198241292456096
0.0445,8.005198824306111
0.045,8.745342591754433
0.0455,4.857116830120616
0.046,4.207933908943782
0.0465,7.311288674059342
0.047,12.845035803662942
0.0475,17.897390304358947
0.048,24.674334918349924
0.0485,34.51733296566702
0.049,43.96003527050796
0.0495,57.35394351957602
0.05,69.48128954790198
0.0505,87.17899065218103
0.051,105.492256039769
0.0515,135.48506564529953
0.052,147.32963708389624
0.0525,166.80988513002973
0.053,192.21676482669855
0.0535,221.4880341142619
0.054,248.1010064182444
0.0545,277.5883679762393
0.055,300.01711522539915
0.0555,337.747977032644
0.056,375.29920410212316
0.0565,411.90151184206695
0.057,451.25088674815026
0.0575,492.6135584130505
0.058,525.6488400920114
0.0585,574.6996316606803
0.059,630.7104178975222
0.0595,670.6662239665153
0.06,715.1450773599037
